Vendor,DeviceID,DriverHi,DriverLo,NTDriverHi,NTDriverLo,CardName,Generic Name,Flags

0x1002, 0x4756, 0x0004000a, 0x00010937, 0x00000000, 0x00000000,ATI,3D Rage IIC PCI,None
0x102b, 0x051b, 0x0004000a, 0x0001100e, 0x00000000, 0x00000000,Matrox,Millennium II PCI,None
0x10de, 0x0020, 0x0004000a, 0x000100f3, 0x00000000, 0x00000000,nVidia,TNT,None
0x10de, 0x0028, 0x00000000, 0x00000000, 0x00050000, 0x08700147,nVidia,TNT2,None
0x10de, 0x0101, 0x0004000c, 0x0001016a, 0x0005000c, 0x0001016a,nVidia,GeForce DDR,None
0x102b, 0x051b, 0x00040003, 0x00000e10, 0x00000000, 0x00000000,Matrox,Millennium II PCI,None
0x5333, 0x9102, 0x0004000c, 0x0001232f, 0x00000000, 0x00000000,S3,Savage 2000,None
0x5333, 0x9102, 0x0004000c, 0x00012337, 0x00000000, 0x00000000,S3,Savage 2000,None
0x10de, 0x002c, 0x0004000b, 0x000100f0, 0x00000000, 0x00000000,nVidia,TNT Vanta,None
0x10de, 0x0028, 0x0004000c, 0x00010070, 0x00000000, 0x00000000,nVidia,TNT2,None
0x121a, 0x0001, 0x0004000a, 0x0000063e, 0x00000000, 0x00000000,3Dfx,Voodoo 1,None
0x5333, 0x8a22, 0x0004000a, 0x00010835, 0x00000000, 0x00000000,S3,Savage 3D S4,None
0x10de, 0x0028, 0x0004000a, 0x00010834, 0x00000000, 0x00000000,nVidia,TNT2,None
0x10de, 0x0029, 0x0004000b, 0x000100e1, 0x00000000, 0x00000000,nVidia,ULTRA,None
0x10de, 0x0029, 0x00000000, 0x00000000, 0x00050000, 0x08700147,nVidia,TNT2,None
0x10de, 0x0020, 0x0004000b, 0x000100bf, 0x00000000, 0x00000000,nVidia,TNT,None
0x8086, 0x7800, 0x0004000a, 0x000107e2, 0x00000000, 0x00000000,Intel,740,None
0x121a, 0x0005, 0x00000000, 0x00000000, 0x00050000, 0x0884003A,3Dfx,Voodoo 3,None
0x12D2, 0x0018, 0x0004000a, 0x00010834, 0x00000000, 0x00000000,nVidia,128,None
0x10de, 0x0020, 0x0004000a, 0x00010083, 0x00000000, 0x00000000,nVidia,TNT,None
0x102b, 0x0521, 0x0004000a, 0x00011004, 0x00000000, 0x00000000,Matrox,G200 AGP,None
0x10de, 0x0112, 0x00000000, 0x00000000, 0x0005000c, 0x0001028a,nVidia,GeForce 2 Go,None
0x10de, 0x0150, 0x00000000, 0x00000000, 0x0005000c, 0x0001028a,nVidia,GeForce 2,None
0x10de, 0x0152, 0x00000000, 0x00000000, 0x0005000c, 0x0001028a,nVidia,GeForce 2 Ultra,None
0x10de, 0x0020, 0x00000000, 0x00000000, 0x0005000c, 0x0001028a,nVidia,TNT,None
0x10de, 0x0028, 0x00000000, 0x00000000, 0x0005000c, 0x0001028a,nVidia,TNT2,None
0x10de, 0x0029, 0x00000000, 0x00000000, 0x0005000c, 0x0001028a,nVidia,ULTRA,None
0x10de, 0x002c, 0x00000000, 0x00000000, 0x0005000c, 0x0001028a,nVidia,TNT Vanta,None
0x10de, 0x002d, 0x00000000, 0x00000000, 0x0005000c, 0x0001028a,nVidia,TNT,None
0x10de, 0x0100, 0x00000000, 0x00000000, 0x0005000c, 0x0001028a,nVidia,GeForce,None
0x10de, 0x0101, 0x00000000, 0x00000000, 0x0005000c, 0x0001028a,nVidia,GeForce DDR,None
0x10de, 0x0103, 0x00000000, 0x00000000, 0x0005000c, 0x0001028a,nVidia,GeForce Quadro,None
0x10de, 0x0110, 0x00000000, 0x00000000, 0x0005000c, 0x0001028a,nVidia,GeForce MX,None
0x10de, 0x0200, 0x00000000, 0x00000000, 0x0005000d, 0x000104ba,nVidia,GeForce 3,None
0x12D2, 0x0018, 0x0004000a, 0x00010082, 0x00000000, 0x00000000,nVidia,128,None
0x5333, 0x8c10, 0x0004000b, 0x00011b5b, 0x00000000, 0x00000000,S3,Savage MX,None
